,Survived,Name_Prefix,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0.0,3.0,0.0,0.0,22.0,1.0,0.0,7.25,2.0
1,1.0,1.0,1.0,1.0,38.0,1.0,0.0,71.28,0.0
2,1.0,3.0,2.0,1.0,26.0,0.0,0.0,7.92,2.0
3,1.0,1.0,1.0,1.0,35.0,1.0,0.0,53.1,2.0
4,0.0,3.0,0.0,0.0,35.0,0.0,0.0,8.05,2.0
5,0.0,3.0,0.0,0.0,29.39,0.0,0.0,8.46,1.0
6,0.0,1.0,0.0,0.0,54.0,0.0,0.0,51.86,2.0
7,0.0,3.0,3.0,0.0,2.0,3.0,1.0,21.08,2.0
8,1.0,3.0,1.0,1.0,27.0,0.0,2.0,11.13,2.0
9,1.0,2.0,1.0,1.0,14.0,1.0,0.0,30.07,0.0
10,1.0,3.0,2.0,1.0,4.0,1.0,1.0,16.7,2.0
11,1.0,1.0,2.0,1.0,58.0,0.0,0.0,26.55,2.0
12,0.0,3.0,0.0,0.0,20.0,0.0,0.0,8.05,2.0
13,0.0,3.0,0.0,0.0,39.0,1.0,5.0,31.28,2.0
14,0.0,3.0,2.0,1.0,14.0,0.0,0.0,7.85,2.0
15,1.0,2.0,1.0,1.0,55.0,0.0,0.0,16.0,2.0
16,0.0,3.0,3.0,0.0,2.0,4.0,1.0,29.12,1.0
17,1.0,2.0,0.0,0.0,33.86,0.0,0.0,13.0,2.0
18,0.0,3.0,1.0,1.0,31.0,1.0,0.0,18.0,2.0
19,1.0,3.0,1.0,1.0,25.94,0.0,0.0,7.22,0.0
20,0.0,2.0,0.0,0.0,35.0,0.0,0.0,26.0,2.0
21,1.0,2.0,0.0,0.0,34.0,0.0,0.0,13.0,2.0
22,1.0,3.0,2.0,1.0,15.0,0.0,0.0,8.03,1.0
23,1.0,1.0,0.0,0.0,28.0,0.0,0.0,35.5,2.0
24,0.0,3.0,2.0,1.0,8.0,3.0,1.0,21.08,2.0
25,1.0,3.0,1.0,1.0,38.0,1.0,5.0,31.39,2.0
26,0.0,3.0,0.0,0.0,28.86,0.0,0.0,7.22,0.0
27,0.0,1.0,0.0,0.0,19.0,3.0,2.0,263.0,2.0
28,1.0,3.0,2.0,1.0,18.46,0.0,0.0,7.88,1.0
29,0.0,3.0,0.0,0.0,29.94,0.0,0.0,7.9,2.0
30,0.0,1.0,0.0,0.0,40.0,0.0,0.0,27.72,0.0
31,1.0,1.0,1.0,1.0,36.43,1.0,0.0,146.52,0.0
32,1.0,3.0,2.0,1.0,18.46,0.0,0.0,7.75,1.0
33,0.0,2.0,0.0,0.0,66.0,0.0,0.0,10.5,2.0
34,0.0,1.0,0.0,0.0,28.0,1.0,0.0,82.17,0.0
35,0.0,1.0,0.0,0.0,42.0,1.0,0.0,52.0,2.0
36,1.0,3.0,0.0,0.0,25.92,0.0,0.0,7.23,0.0
37,0.0,3.0,0.0,0.0,21.0,0.0,0.0,8.05,2.0
38,0.0,3.0,2.0,1.0,18.0,2.0,0.0,18.0,2.0
39,1.0,3.0,2.0,1.0,14.0,1.0,0.0,11.24,0.0
40,0.0,3.0,1.0,1.0,40.0,1.0,0.0,9.48,2.0
41,0.0,2.0,1.0,1.0,27.0,1.0,0.0,21.0,2.0
42,0.0,3.0,0.0,0.0,28.85,0.0,0.0,7.9,0.0
43,1.0,2.0,2.0,1.0,3.0,1.0,2.0,41.58,0.0
44,1.0,3.0,2.0,1.0,19.0,0.0,0.0,7.88,1.0
45,0.0,3.0,0.0,0.0,29.94,0.0,0.0,8.05,2.0
46,0.0,3.0,0.0,0.0,27.53,1.0,0.0,15.5,1.0
47,1.0,3.0,2.0,1.0,18.46,0.0,0.0,7.75,1.0
48,0.0,3.0,0.0,0.0,25.14,2.0,0.0,21.68,0.0
49,0.0,3.0,1.0,1.0,18.0,1.0,0.0,17.8,2.0
50,0.0,3.0,3.0,0.0,7.0,4.0,1.0,39.69,2.0
51,0.0,3.0,0.0,0.0,21.0,0.0,0.0,7.8,2.0
52,1.0,1.0,1.0,1.0,49.0,1.0,0.0,76.73,0.0
53,1.0,2.0,1.0,1.0,29.0,1.0,0.0,26.0,2.0
54,0.0,1.0,0.0,0.0,65.0,0.0,1.0,61.98,0.0
55,1.0,1.0,0.0,0.0,40.52,0.0,0.0,35.5,2.0
56,1.0,2.0,2.0,1.0,21.0,0.0,0.0,10.5,2.0
57,0.0,3.0,0.0,0.0,28.5,0.0,0.0,7.23,0.0
58,1.0,2.0,2.0,1.0,5.0,1.0,2.0,27.75,2.0
59,0.0,3.0,3.0,0.0,11.0,5.0,2.0,46.9,2.0
60,0.0,3.0,0.0,0.0,22.0,0.0,0.0,7.23,0.0
61,1.0,1.0,2.0,1.0,38.0,0.0,0.0,80.0,2.0
62,0.0,1.0,0.0,0.0,45.0,1.0,0.0,83.48,2.0
63,0.0,3.0,3.0,0.0,4.0,3.0,2.0,27.9,2.0
64,0.0,1.0,0.0,0.0,42.47,0.0,0.0,27.72,0.0
65,1.0,3.0,3.0,0.0,-0.06,1.0,1.0,15.25,0.0
66,1.0,2.0,1.0,1.0,29.0,0.0,0.0,10.5,2.0
67,0.0,3.0,0.0,0.0,19.0,0.0,0.0,8.16,2.0
68,1.0,3.0,2.0,1.0,17.0,4.0,2.0,7.92,2.0
69,0.0,3.0,0.0,0.0,26.0,2.0,0.0,8.66,2.0
70,0.0,2.0,0.0,0.0,32.0,0.0,0.0,10.5,2.0
71,0.0,3.0,2.0,1.0,16.0,5.0,2.0,46.9,2.0
72,0.0,2.0,0.0,0.0,21.0,0.0,0.0,73.5,2.0
73,0.0,3.0,0.0,0.0,26.0,1.0,0.0,14.45,0.0
74,1.0,3.0,0.0,0.0,32.0,0.0,0.0,56.5,2.0
75,0.0,3.0,0.0,0.0,25.0,0.0,0.0,7.65,2.0
76,0.0,3.0,0.0,0.0,29.94,0.0,0.0,7.9,2.0
77,0.0,3.0,0.0,0.0,29.94,0.0,0.0,8.05,2.0
78,1.0,2.0,3.0,0.0,0.83,0.0,2.0,29.0,2.0
79,1.0,3.0,2.0,1.0,30.0,0.0,0.0,12.48,2.0
80,0.0,3.0,0.0,0.0,22.0,0.0,0.0,9.0,2.0
81,1.0,3.0,0.0,0.0,29.0,0.0,0.0,9.5,2.0
82,1.0,3.0,2.0,1.0,18.46,0.0,0.0,7.79,1.0
83,0.0,1.0,0.0,0.0,28.0,0.0,0.0,47.1,2.0
84,1.0,2.0,2.0,1.0,17.0,0.0,0.0,10.5,2.0
85,1.0,3.0,1.0,1.0,33.0,3.0,0.0,15.85,2.0
86,0.0,3.0,0.0,0.0,16.0,1.0,3.0,34.38,2.0
87,0.0,3.0,0.0,0.0,29.94,0.0,0.0,8.05,2.0
88,1.0,1.0,2.0,1.0,23.0,3.0,2.0,263.0,2.0
89,0.0,3.0,0.0,0.0,24.0,0.0,0.0,8.05,2.0
90,0.0,3.0,0.0,0.0,29.0,0.0,0.0,8.05,2.0
91,0.0,3.0,0.0,0.0,20.0,0.0,0.0,7.85,2.0
92,0.0,1.0,0.0,0.0,46.0,1.0,0.0,61.18,2.0
93,0.0,3.0,0.0,0.0,26.0,1.0,2.0,20.58,2.0
94,0.0,3.0,0.0,0.0,59.0,0.0,0.0,7.25,2.0
95,0.0,3.0,0.0,0.0,29.94,0.0,0.0,8.05,2.0
96,0.0,1.0,0.0,0.0,71.0,0.0,0.0,34.65,0.0
97,1.0,1.0,0.0,0.0,23.0,0.0,1.0,63.36,0.0
98,1.0,2.0,1.0,1.0,34.0,0.0,1.0,23.0,2.0
99,0.0,2.0,0.0,0.0,34.0,1.0,0.0,26.0,2.0
100,0.0,3.0,2.0,1.0,28.0,0.0,0.0,7.9,2.0
101,0.0,3.0,0.0,0.0,29.94,0.0,0.0,7.9,2.0
102,0.0,1.0,0.0,0.0,21.0,0.0,1.0,77.29,2.0
103,0.0,3.0,0.0,0.0,33.0,0.0,0.0,8.65,2.0
104,0.0,3.0,0.0,0.0,37.0,2.0,0.0,7.92,2.0
105,0.0,3.0,0.0,0.0,28.0,0.0,0.0,7.9,2.0
106,1.0,3.0,2.0,1.0,21.0,0.0,0.0,7.65,2.0
107,1.0,3.0,0.0,0.0,27.0,0.0,0.0,7.78,2.0
108,0.0,3.0,0.0,0.0,38.0,0.0,0.0,7.9,2.0
109,1.0,3.0,2.0,1.0,16.5,1.0,0.0,24.15,1.0
110,0.0,1.0,0.0,0.0,47.0,0.0,0.0,52.0,2.0
111,0.0,3.0,2.0,1.0,14.5,1.0,0.0,14.45,0.0
112,0.0,3.0,0.0,0.0,22.0,0.0,0.0,8.05,2.0
113,0.0,3.0,2.0,1.0,20.0,1.0,0.0,9.82,2.0
114,0.0,3.0,2.0,1.0,17.0,0.0,0.0,14.46,0.0
115,0.0,3.0,0.0,0.0,21.0,0.0,0.0,7.92,2.0
116,0.0,3.0,0.0,0.0,70.5,0.0,0.0,7.75,1.0
117,0.0,2.0,0.0,0.0,29.0,1.0,0.0,21.0,2.0
118,0.0,1.0,0.0,0.0,24.0,0.0,1.0,247.52,0.0
119,0.0,3.0,2.0,1.0,2.0,4.0,2.0,31.28,2.0
120,0.0,2.0,0.0,0.0,21.0,2.0,0.0,73.5,2.0
121,0.0,3.0,0.0,0.0,29.94,0.0,0.0,8.05,2.0
122,0.0,2.0,0.0,0.0,32.5,1.0,0.0,30.07,0.0
123,1.0,2.0,2.0,1.0,32.5,0.0,0.0,13.0,2.0
124,0.0,1.0,0.0,0.0,54.0,0.0,1.0,77.29,2.0
125,1.0,3.0,3.0,0.0,12.0,1.0,0.0,11.24,0.0
126,0.0,3.0,0.0,0.0,29.4,0.0,0.0,7.75,1.0
127,1.0,3.0,0.0,0.0,24.0,0.0,0.0,7.14,2.0
128,1.0,3.0,2.0,1.0,15.91,1.0,1.0,22.36,0.0
129,0.0,3.0,0.0,0.0,45.0,0.0,0.0,6.98,2.0
130,0.0,3.0,0.0,0.0,33.0,0.0,0.0,7.9,0.0
131,0.0,3.0,0.0,0.0,20.0,0.0,0.0,7.05,2.0
132,0.0,3.0,1.0,1.0,47.0,1.0,0.0,14.5,2.0
133,1.0,2.0,1.0,1.0,29.0,1.0,0.0,26.0,2.0
134,0.0,2.0,0.0,0.0,25.0,0.0,0.0,13.0,2.0
135,0.0,2.0,0.0,0.0,23.0,0.0,0.0,15.05,0.0
136,1.0,1.0,2.0,1.0,19.0,0.0,2.0,26.28,2.0
137,0.0,1.0,0.0,0.0,37.0,1.0,0.0,53.1,2.0
138,0.0,3.0,0.0,0.0,16.0,0.0,0.0,9.22,2.0
139,0.0,1.0,0.0,0.0,24.0,0.0,0.0,79.2,0.0
140,0.0,3.0,1.0,1.0,28.65,0.0,2.0,15.25,0.0
141,1.0,3.0,2.0,1.0,22.0,0.0,0.0,7.75,2.0
142,1.0,3.0,1.0,1.0,24.0,1.0,0.0,15.85,2.0
143,0.0,3.0,0.0,0.0,19.0,0.0,0.0,6.75,1.0
144,0.0,2.0,0.0,0.0,18.0,0.0,0.0,11.5,2.0
145,0.0,2.0,0.0,0.0,19.0,1.0,1.0,36.75,2.0
146,1.0,3.0,0.0,0.0,27.0,0.0,0.0,7.8,2.0
147,0.0,3.0,2.0,1.0,9.0,2.0,2.0,34.38,2.0
148,0.0,2.0,0.0,0.0,36.5,0.0,2.0,26.0,2.0
149,0.0,2.0,0.0,0.0,42.0,0.0,0.0,13.0,2.0
150,0.0,2.0,0.0,0.0,51.0,0.0,0.0,12.52,2.0
151,1.0,1.0,1.0,1.0,22.0,1.0,0.0,66.6,2.0
152,0.0,3.0,0.0,0.0,55.5,0.0,0.0,8.05,2.0
153,0.0,3.0,0.0,0.0,40.5,0.0,2.0,14.5,2.0
154,0.0,3.0,0.0,0.0,29.95,0.0,0.0,7.31,2.0
155,0.0,1.0,0.0,0.0,51.0,0.0,1.0,61.38,0.0
156,1.0,3.0,2.0,1.0,16.0,0.0,0.0,7.73,1.0
157,0.0,3.0,0.0,0.0,30.0,0.0,0.0,8.05,2.0
158,0.0,3.0,0.0,0.0,29.93,0.0,0.0,8.66,2.0
159,0.0,3.0,3.0,0.0,-9.16,8.0,2.0,69.55,2.0
160,0.0,3.0,0.0,0.0,44.0,0.0,1.0,16.1,2.0
161,1.0,2.0,1.0,1.0,40.0,0.0,0.0,15.75,2.0
162,0.0,3.0,0.0,0.0,26.0,0.0,0.0,7.78,2.0
163,0.0,3.0,0.0,0.0,17.0,0.0,0.0,8.66,2.0
164,0.0,3.0,3.0,0.0,1.0,4.0,1.0,39.69,2.0
165,1.0,3.0,3.0,0.0,9.0,0.0,2.0,20.52,2.0
166,1.0,1.0,1.0,1.0,40.26,0.0,1.0,55.0,2.0
167,0.0,3.0,1.0,1.0,45.0,1.0,4.0,27.9,2.0
168,0.0,1.0,0.0,0.0,43.58,0.0,0.0,25.92,2.0
169,0.0,3.0,0.0,0.0,28.0,0.0,0.0,56.5,2.0
170,0.0,1.0,0.0,0.0,61.0,0.0,0.0,33.5,2.0
171,0.0,3.0,3.0,0.0,4.0,4.0,1.0,29.12,1.0
172,1.0,3.0,2.0,1.0,1.0,1.0,1.0,11.13,2.0
173,0.0,3.0,0.0,0.0,21.0,0.0,0.0,7.92,2.0
174,0.0,1.0,0.0,0.0,56.0,0.0,0.0,30.7,0.0
175,0.0,3.0,0.0,0.0,18.0,1.0,1.0,7.85,2.0
176,0.0,3.0,3.0,0.0,0.3,3.0,1.0,25.47,2.0
177,0.0,1.0,2.0,1.0,50.0,0.0,0.0,28.71,0.0
178,0.0,2.0,0.0,0.0,30.0,0.0,0.0,13.0,2.0
179,0.0,3.0,0.0,0.0,36.0,0.0,0.0,0.0,2.0
180,0.0,3.0,2.0,1.0,6.89,8.0,2.0,69.55,2.0
181,0.0,2.0,0.0,0.0,35.69,0.0,0.0,15.05,0.0
182,0.0,3.0,3.0,0.0,9.0,4.0,2.0,31.39,2.0
183,1.0,2.0,3.0,0.0,1.0,2.0,1.0,39.0,2.0
184,1.0,3.0,2.0,1.0,4.0,0.0,2.0,22.02,2.0
185,0.0,1.0,0.0,0.0,43.31,0.0,0.0,50.0,2.0
186,1.0,3.0,1.0,1.0,24.61,1.0,0.0,15.5,1.0
187,1.0,1.0,0.0,0.0,45.0,0.0,0.0,26.55,2.0
188,0.0,3.0,0.0,0.0,40.0,1.0,1.0,15.5,1.0
189,0.0,3.0,0.0,0.0,36.0,0.0,0.0,7.9,2.0
190,1.0,2.0,1.0,1.0,32.0,0.0,0.0,13.0,2.0
191,0.0,2.0,0.0,0.0,19.0,0.0,0.0,13.0,2.0
192,1.0,3.0,2.0,1.0,19.0,1.0,0.0,7.85,2.0
193,1.0,2.0,3.0,0.0,3.0,1.0,1.0,26.0,2.0
194,1.0,1.0,1.0,1.0,44.0,0.0,0.0,27.72,0.0
195,1.0,1.0,2.0,1.0,58.0,0.0,0.0,146.52,0.0
196,0.0,3.0,0.0,0.0,29.4,0.0,0.0,7.75,1.0
197,0.0,3.0,0.0,0.0,42.0,0.0,1.0,8.4,2.0
198,1.0,3.0,2.0,1.0,18.46,0.0,0.0,7.75,1.0
199,0.0,2.0,2.0,1.0,24.0,0.0,0.0,13.0,2.0
200,0.0,3.0,0.0,0.0,28.0,0.0,0.0,9.5,2.0
201,0.0,3.0,0.0,0.0,14.88,8.0,2.0,69.55,2.0
202,0.0,3.0,0.0,0.0,34.0,0.0,0.0,6.5,2.0
203,0.0,3.0,0.0,0.0,45.5,0.0,0.0,7.22,0.0
204,1.0,3.0,0.0,0.0,18.0,0.0,0.0,8.05,2.0
205,0.0,3.0,2.0,1.0,2.0,0.0,1.0,10.46,2.0
206,0.0,3.0,0.0,0.0,32.0,1.0,0.0,15.85,2.0
207,1.0,3.0,0.0,0.0,26.0,0.0,0.0,18.79,0.0
208,1.0,3.0,2.0,1.0,16.0,0.0,0.0,7.75,1.0
209,1.0,1.0,0.0,0.0,40.0,0.0,0.0,31.0,0.0
210,0.0,3.0,0.0,0.0,24.0,0.0,0.0,7.05,2.0
211,1.0,2.0,2.0,1.0,35.0,0.0,0.0,21.0,2.0
212,0.0,3.0,0.0,0.0,22.0,0.0,0.0,7.25,2.0
213,0.0,2.0,0.0,0.0,30.0,0.0,0.0,13.0,2.0
214,0.0,3.0,0.0,0.0,27.62,1.0,0.0,7.75,1.0
215,1.0,1.0,2.0,1.0,31.0,1.0,0.0,113.28,0.0
216,1.0,3.0,2.0,1.0,27.0,0.0,0.0,7.92,2.0
217,0.0,2.0,0.0,0.0,42.0,1.0,0.0,27.0,2.0
218,1.0,1.0,2.0,1.0,32.0,0.0,0.0,76.29,0.0
219,0.0,2.0,0.0,0.0,30.0,0.0,0.0,10.5,2.0
220,1.0,3.0,0.0,0.0,16.0,0.0,0.0,8.05,2.0
221,0.0,2.0,0.0,0.0,27.0,0.0,0.0,13.0,2.0
222,0.0,3.0,0.0,0.0,51.0,0.0,0.0,8.05,2.0
223,0.0,3.0,0.0,0.0,29.94,0.0,0.0,7.9,2.0
224,1.0,1.0,0.0,0.0,38.0,1.0,0.0,90.0,2.0
225,0.0,3.0,0.0,0.0,22.0,0.0,0.0,9.35,2.0
226,1.0,2.0,0.0,0.0,19.0,0.0,0.0,10.5,2.0
227,0.0,3.0,0.0,0.0,20.5,0.0,0.0,7.25,2.0
228,0.0,2.0,0.0,0.0,18.0,0.0,0.0,13.0,2.0
229,0.0,3.0,2.0,1.0,16.35,3.0,1.0,25.47,2.0
230,1.0,1.0,1.0,1.0,35.0,1.0,0.0,83.48,2.0
231,0.0,3.0,0.0,0.0,29.0,0.0,0.0,7.78,2.0
232,0.0,2.0,0.0,0.0,59.0,0.0,0.0,13.5,2.0
233,1.0,3.0,2.0,1.0,5.0,4.0,2.0,31.39,2.0
234,0.0,2.0,0.0,0.0,24.0,0.0,0.0,10.5,2.0
235,0.0,3.0,2.0,1.0,21.95,0.0,0.0,7.55,2.0
236,0.0,2.0,0.0,0.0,44.0,1.0,0.0,26.0,2.0
237,1.0,2.0,2.0,1.0,8.0,0.0,2.0,26.25,2.0
238,0.0,2.0,0.0,0.0,19.0,0.0,0.0,10.5,2.0
239,0.0,2.0,0.0,0.0,33.0,0.0,0.0,12.28,2.0
240,0.0,3.0,2.0,1.0,19.01,1.0,0.0,14.45,0.0
241,1.0,3.0,2.0,1.0,16.6,1.0,0.0,15.5,1.0
242,0.0,2.0,0.0,0.0,29.0,0.0,0.0,10.5,2.0
243,0.0,3.0,0.0,0.0,22.0,0.0,0.0,7.12,2.0
244,0.0,3.0,0.0,0.0,30.0,0.0,0.0,7.22,0.0
245,0.0,1.0,0.0,0.0,44.0,2.0,0.0,90.0,1.0
246,0.0,3.0,2.0,1.0,25.0,0.0,0.0,7.78,2.0
247,1.0,2.0,1.0,1.0,24.0,0.0,2.0,14.5,2.0
248,1.0,1.0,0.0,0.0,37.0,1.0,1.0,52.55,2.0
249,0.0,2.0,0.0,0.0,54.0,1.0,0.0,26.0,2.0
250,0.0,3.0,0.0,0.0,29.95,0.0,0.0,7.25,2.0
251,0.0,3.0,1.0,1.0,29.0,1.0,1.0,10.46,2.0
252,0.0,1.0,0.0,0.0,62.0,0.0,0.0,26.55,2.0
253,0.0,3.0,0.0,0.0,30.0,1.0,0.0,16.1,2.0
254,0.0,3.0,1.0,1.0,41.0,0.0,2.0,20.21,2.0
255,1.0,3.0,1.0,1.0,29.0,0.0,2.0,15.25,0.0
256,1.0,1.0,1.0,1.0,38.97,0.0,0.0,79.2,0.0
257,1.0,1.0,2.0,1.0,30.0,0.0,0.0,86.5,2.0
258,1.0,1.0,2.0,1.0,35.0,0.0,0.0,512.33,0.0
259,1.0,2.0,1.0,1.0,50.0,0.0,1.0,26.0,2.0
260,0.0,3.0,0.0,0.0,29.4,0.0,0.0,7.75,1.0
261,1.0,3.0,3.0,0.0,3.0,4.0,2.0,31.39,2.0
262,0.0,1.0,0.0,0.0,52.0,1.0,1.0,79.65,2.0
263,0.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0
264,0.0,3.0,2.0,1.0,21.41,0.0,0.0,7.75,1.0
265,0.0,2.0,0.0,0.0,36.0,0.0,0.0,10.5,2.0
266,0.0,3.0,0.0,0.0,16.0,4.0,1.0,39.69,2.0
267,1.0,3.0,0.0,0.0,25.0,1.0,0.0,7.78,2.0
268,1.0,1.0,1.0,1.0,58.0,0.0,1.0,153.46,2.0
269,1.0,1.0,2.0,1.0,35.0,0.0,0.0,135.63,2.0
270,0.0,1.0,0.0,0.0,43.52,0.0,0.0,31.0,2.0
271,1.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0
272,1.0,2.0,1.0,1.0,41.0,0.0,1.0,19.5,2.0
273,0.0,1.0,0.0,0.0,37.0,0.0,1.0,29.7,0.0
274,1.0,3.0,2.0,1.0,18.46,0.0,0.0,7.75,1.0
275,1.0,1.0,2.0,1.0,63.0,1.0,0.0,77.96,2.0
276,0.0,3.0,2.0,1.0,45.0,0.0,0.0,7.75,2.0
277,0.0,2.0,0.0,0.0,36.95,0.0,0.0,0.0,2.0
278,0.0,3.0,3.0,0.0,7.0,4.0,1.0,29.12,1.0
279,1.0,3.0,1.0,1.0,35.0,1.0,1.0,20.25,2.0
280,0.0,3.0,0.0,0.0,65.0,0.0,0.0,7.75,1.0
281,0.0,3.0,0.0,0.0,28.0,0.0,0.0,7.85,2.0
282,0.0,3.0,0.0,0.0,16.0,0.0,0.0,9.5,2.0
283,1.0,3.0,0.0,0.0,19.0,0.0,0.0,8.05,2.0
284,0.0,1.0,0.0,0.0,43.57,0.0,0.0,26.0,2.0
285,0.0,3.0,0.0,0.0,33.0,0.0,0.0,8.66,0.0
286,1.0,3.0,0.0,0.0,30.0,0.0,0.0,9.5,2.0
287,0.0,3.0,0.0,0.0,22.0,0.0,0.0,7.9,2.0
288,1.0,2.0,0.0,0.0,42.0,0.0,0.0,13.0,2.0
289,1.0,3.0,2.0,1.0,22.0,0.0,0.0,7.75,1.0
290,1.0,1.0,2.0,1.0,26.0,0.0,0.0,78.85,2.0
291,1.0,1.0,1.0,1.0,19.0,1.0,0.0,91.08,0.0
292,0.0,2.0,0.0,0.0,36.0,0.0,0.0,12.88,0.0
293,0.0,3.0,2.0,1.0,24.0,0.0,0.0,8.85,2.0
294,0.0,3.0,0.0,0.0,24.0,0.0,0.0,7.9,2.0
295,0.0,1.0,0.0,0.0,42.47,0.0,0.0,27.72,0.0
296,0.0,3.0,0.0,0.0,23.5,0.0,0.0,7.23,0.0
